picnicgrove_id,preserve_name,grove,capacity,large_capacity,grove_type,location,accessible,parking_to_shelter,shelter_to_bathroom,bathroom_type,poi_info_id
"119",Bemis Woods-North,"3","200",no,no shelter,"Proviso Twp, IL","0",,,,"390"
"120",Bemis Woods-North,"2","200",no,no shelter,"Proviso Twp, IL","0",,,,"390"
"121",Busse Forest-North,"1","200",no,no shelter,"Elk Grove Twp, IL","0",,,,"184"
"122",Busse Lake Boating Center,"19","100",no,no shelter,"Elk Grove Twp, IL","0",,,,"189"
"123",Busse Lake Boating Center,"25","150",no,no shelter,"Elk Grove Twp, IL","0",,,,"189"
"125",Schuth's Grove,"2","200",no,no shelter,"Proviso Twp, IL","0",,,,"238"
"126",Bur Oak Woods,"4","150",no,no shelter,"Bremen Twp, IL","0",,,,"177"
"127",Bur Oak Woods,"2","100",no,no shelter,"Bremen Twp, IL","0",,,,"177"
"128",Rubio Woods,"4","100",no,shelter,"Bremen Twp, IL","1","185","155",portable,"132"
"129",Rubio Woods,"1","100",no,no shelter,"Bremen Twp, IL","0",,,,"132"
"131",Spears Woods,"1","200",no,no shelter,"Palos Twp, IL","0",,,,"295"
"132",Hidden Pond Woods-East,"1","150",no,no shelter,"Palos Twp, IL","0",,,,"55"
"133",Country Lane Woods,"3","100",no,no shelter,"Palos Twp, IL","0",,,,"299"
"134",Country Lane Woods,"1","200",no,no shelter,"Palos Twp, IL","0",,,,"299"
"135",Red Gate Woods,"1","300",no,no shelter,"Palos Twp, IL","0",,,,"326"
"137",Maple Lake,"1","300",no,no shelter,"Palos Twp, IL","0",,,,"331"
"138",White Oak Woods,"1","150",no,no shelter,"Palos Twp, IL","0",,,,"301"
"139",Crooked Creek Woods,"1","100",no,no shelter,"Palos Twp, IL","0",,,,"302"
"140",Crooked Creek Woods,"3","100",no,no shelter,"Palos Twp, IL","0",,,,"302"
"141",Wolf Road Woods,"1","100",no,no shelter,"Palos Twp, IL","0",,,,"320"
"142",Pioneer Woods,"1","350",yes,no shelter,"Palos Hills, IL","0",,,,"316"
"144",Forty Acre Woods,"1","300",no,no shelter,"Palos Twp, IL","0",,,,"118"
"145",McClaughrey Springs Woods,"1","100",no,no shelter,"Palos Twp, IL","0",,,,"119"
"146",Paddock Woods,"1","50",no,no shelter,"Palos Twp, IL","0",,,,"121"
"147",Brezina Woods,"1","150",no,no shelter,"Proviso Twp, IL","0",,,,"247"
"148",Twenty-Sixth Street Woods-East,"1","100",no,no shelter,"Proviso Twp, IL","0",,,,"245"
"149",Yankee Woods,"1","100",no,no shelter,"Bremen Twp, IL","0",,,,"140"
"150",Wampum Lake,"5","200",no,no shelter,"Thornton Twp, IL","0",,,,"22"
"151",Wampum Lake,"4","200",no,no shelter,"Thornton Twp, IL","0",,,,"22"
"152",National Grove-South,"2","250",no,no shelter,"Village of  North Riverside, IL","0",,,,"241"
"153",Whistler Woods,"1","200",no,no shelter,"Village of Riverdale, IL","0",,,,"141"
"155",Elizabeth A. Conkey Forest-South,"2","100",yes,no shelter,"Crestwood, IL","0",,,,"131"
"156",Elizabeth A. Conkey Forest-South,"3","100",yes,no shelter,"Crestwood, IL","0",,,,"131"
"157",Elizabeth A. Conkey Forest-North,"6","200",yes,no shelter,"Crestwood, IL","0",,,,"130"
"158",Elizabeth A. Conkey Forest-North,"7","150",yes,no shelter,"Crestwood, IL","0",,,,"130"
"159",Deer Grove,"3","100",no,no shelter,"Palatine Twp, IL","0",,,,"180"
"160",Camp Pine Woods,"1","100",no,no shelter,"Northfield Twp, IL","0",,,,"342"
"162",Ottawa Trail Woods-North,"3","200",no,no shelter,"Village of Lyons, IL","0",,,,"257"
"163",Ottawa Trail Woods-South,"1","100",no,no shelter,"Village of Lyons, IL","0",,,,"258"
"164",Sundown Meadow,"3","200",no,no shelter,"City of Countryside, IL","0",,,,"290"
"165",Schiller Woods-West,"1","100",no,no shelter,"Village of Schiller Park, IL","0",,,,"218"
"166",Thatcher Woods,"1","100",no,no shelter,"Village of River Forest, IL","0",,,,"232"
"167",Brownell Woods,"1","250",no,no shelter,"Village of Thornton, IL","0",,,,"158"
"168",Possum Hollow Woods,"2","200",no,no shelter,"Village of Westchester, IL","0",,,,"248"
"170",Sauk Trail Woods-North,"3","150",no,shelter,"Village of South Chicago Heights, IL","0",,,,"169"
"171",Sauk Trail Woods-Central,"5","200",no,shelter,"Village of South Chicago Heights, IL","0",,,,"168"
"172",Sauk Trail Woods-East,"1","100",no,shelter,"Village of South Chicago Heights, IL","0",,,,"167"
"173",Chippewa Woods,"1","150",no,shelter,"Maine Twp, IL","0",,,,"210"
"174",Carl R. Hansen Woods,"1","300",no,shelter,"Hanover Twp, IL","0",,,,"194"
"175",Carl R. Hansen Woods,"2","250",no,shelter,"Hanover Twp, IL","0",,,,"194"
"176",Maywood Grove,"1","200",no,shelter,"Village of Maywood, IL","1","165","125",portable,"234"
"177",Plum Creek Meadow,"1","200",yes,shelter,"Lynwood, IL","1","91","256",indoor,"28"
"178",Plum Creek Meadow,"2","200",yes,shelter,"Lynwood, IL","1","113","430",indoor,"28"
"179",North Creek Meadow,"3","200",yes,shelter,"Lansing, IL","0",,,,"164"
"180",Wampum Lake,"3","100",no,no shelter,"Thornton Twp, IL","0",,,,"22"
"181",Wampum Lake,"1","100",no,no shelter,"Thornton Twp, IL","0",,,,"22"
"182",Theodore Stone Forest,"2","200",no,no shelter,"Village of Hodgkins, IL","0",,,,"289"
"183",Caldwell Woods,"2","150",no,no shelter,"City of Chicago, IL","0",,,,"283"
"184",Schiller Woods-West,"5","150",no,no shelter,"City of Chicago, IL","0",,,,"218"
"185",Schiller Woods-West,"7","100",no,no shelter,"City of Chicago, IL","0",,,,"218"
"186",Schiller Woods-West,"3","150",no,no shelter,"City of Chicago, IL","0",,,,"218"
"187",Schiller Woods-West,"6","100",no,no shelter,"City of Chicago, IL","0",,,,"218"
"188",Che Che Pin Qua Woods,"1","150",no,no shelter,"City of Chicago, IL","0",,,,"223"
"189",Dan Ryan Woods-East,"9","50",no,no shelter,"City of Chicago, IL","0",,,,"312"
"190",Dan Ryan Woods Visitor Center,"6","100",no,no shelter,"City of Chicago, IL","0",,,,"313"
"191",Eggers Grove,"2","150",no,no shelter,"City of Chicago, IL","0",,,,"315"
"192",Ned Brown Meadow,"28","350",no,shelter,"Elk Grove Twp, IL","0",,,,"29"
"193",Ned Brown Meadow,"29","300",no,shelter,"Elk Grove Twp, IL","0",,,,"29"
"194",Ned Brown Meadow,"30","350",no,shelter,"Elk Grove Twp, IL","0",,,,"29"
"195",Busse Forest-West,"31","200",no,shelter,"Elk Grove Twp, IL","0",,,,"190"
"196",Busse Forest-North,"3","200",no,shelter,"Elk Grove Twp, IL","0","182","297",indoor,"184"
"197",Busse Forest-North,"2","150",no,shelter,"Elk Grove Twp, IL","0",,,,"184"
"198",Busse Forest-Central,"4","200",no,shelter,"Elk Grove Twp, IL","0",,,,"191"
"199",Busse Lake Boating Center,"18","350",no,shelter,"Elk Grove Twp, IL","0",,,,"189"
"200",Busse Lake Boating Center,"20","200",no,shelter,"Elk Grove Twp, IL","1","275","240",portable,"189"
"201",Busse Lake Boating Center,"24","350",no,shelter,"Elk Grove Twp, IL","0",,,,"189"
"202",Busse Lake Beisner Road Access,"32","300",no,shelter,"Elk Grove Twp, IL","1","182","588",indoor,"187"
"203",Busse Forest Main Dam,"26","300",no,shelter,"Elk Grove Twp, IL","0",,"540",,"186"
"204",Busse Forest-South,"12","350",yes,shelter,"Elk Grove Village, IL","0",,,,"31"
"205",Busse Forest-South,"11","250",yes,shelter,"Elk Grove Village, IL","0",,,,"31"
"206",Busse Forest-South,"6","300",yes,shelter,"Elk Grove Village, IL","0",,,,"31"
"207",Busse Forest-South,"5","100",yes,shelter,"Elk Grove Village, IL","1","145",,indoor,"31"
"208",Miller Meadow-South,"6","300",yes,shelter,"Maywood, IL","1","152","135",portable,"237"
"209",Carlson Springs Woods,"2","300",no,shelter,"Bremen Twp, IL","0",,,,"134"
"210",Tampier Greenway Family Picnic Area,"1","100",no,shelter,"Orland Twp, IL","0",,,,"366"
"211",Buffalo Woods-North,"2","350",no,shelter,"Lyons Twp, IL","0",,,,"292"
"212",Buffalo Woods-Central,"3","300",no,shelter,"Lyons Twp, IL","0",,,,"293"
"213",Buffalo Woods-South,"4","350",no,shelter,"Lyons Twp, IL","0",,,,"294"
"214",Willow Springs Woods,"2","200",no,shelter,"Palos Twp, IL","0",,,,"296"
"215",Willow Springs Woods,"1","200",no,shelter,"Palos Twp, IL","0",,,,"296"
"216",Country Lane Woods,"2","200",no,shelter,"Palos Twp, IL","0",,,,"299"
"217",Pulaski Woods,"1","250",no,shelter,"Palos Twp, IL","0",,,,"321"
"218",Crooked Creek Woods,"2","350",no,shelter,"Palos Twp, IL","0",,,,"302"
"219",Crooked Creek Woods,"4","200",no,shelter,"Palos Twp, IL","0",,,,"302"
"220",Wolf Road Woods,"2","200",no,shelter,"Palos Twp, IL","0",,,,"320"
"221",Pioneer Woods,"2","350",yes,shelter,"Palos Hills, IL","0",,,,"316"
"222",Teason's Woods,"1","100",no,shelter,"Palos Twp, IL","0",,,,"112"
"223",Cherry Hill Woods,"1","200",no,shelter,"Palos Twp, IL","0",,,,"111"
"224",Swallow Cliff Woods-South,"2","200",no,shelter,"Palos Twp, IL","0",,,,"117"
"225",Swallow Cliff Woods-South,"1","100",no,shelter,"Palos Twp, IL","0",,,,"117"
"226",Palos Park Woods-North,"1","300",no,shelter,"Palos Twp, IL","1","120","101",portable,"122"
"227",Palos Park Woods-South,"2","200",no,shelter,"Palos Twp, IL","0",,,,"120"
"228",Tampier Lake-West,"1","200",no,shelter,"Palos Twp, IL","1","460","440",portable,"124"
"229",King's Grove,"1","300",no,shelter,"Bloom Twp, IL","0",,,,"172"
"230",Schubert's Woods,"1","150",no,shelter,"Bloom Twp, IL","0",,,,"171"
"231",Brezina Woods,"2","350",no,shelter,"Proviso Twp, IL","0",,,,"247"
"232",Brezina Woods,"3","200",no,shelter,"Proviso Twp, IL","1","260","240",portable,"247"
"233",Twenty-Sixth Street Woods-West,"2","100",no,shelter,"Proviso Twp, IL","0",,,,"246"
"234",Bremen Grove,"1","350",no,shelter,"Bremen Twp, IL","1","92","382",indoor,"138"
"235",Yankee Woods,"2","100",no,shelter,"Bremen Twp, IL","0",,,,"140"
"236",Wampum Lake,"2","200",no,shelter,"Thornton Twp, IL","0",,,,"22"
"237",Sweet Woods,"1","250",no,shelter,"Thornton Twp, IL","1","350","330",portable,"159"
"238",Lake Avenue Woods-West,"2","300",no,shelter,"Wheeling Twp, IL","0",,,,"340"
"239",Theodore Stone Forest,"1","300",no,shelter,"Village of Hodgkins, IL","0",,,,"289"
"240",Big Bend Lake,"1","200",no,shelter,"City of  Des Plaines, IL","0",,,,"364"
"241",Lions Woods,"1","350",no,shelter,"City of  Des Plaines, IL","1","550","460",portable,"204"
"243",Camp Ground Road Woods,"1","200",no,shelter,"City of  Des Plaines, IL","1","100","85",portable,"207"
"244",LaBagh Woods,"1","350",no,shelter,"City of Chicago, IL","1","185","455",indoor,"56"
"245",LaBagh Woods,"4","200",yes,shelter,"City of Chicago, IL","1","182","161",portable,"56"
"246",LaBagh Woods,"3","200",yes,shelter,"City of Chicago, IL","0",,,,"56"
"247",LaBagh Woods,"2","200",yes,shelter,"City of Chicago, IL","0","232","254",indoor,"56"
"248",Catherine Chevalier Woods,"3","200",no,shelter,"City of Chicago, IL","0",,,,"214"
"249",Catherine Chevalier Woods,"2","200",no,shelter,"City of Chicago, IL","0",,,,"214"
"250",Catherine Chevalier Woods,"1","300",no,shelter,"City of Chicago, IL","0",,,,"214"
"251",Robinson Woods-South,"1","200",no,shelter,"City of Chicago, IL","0",,,,"216"
"252",Robinson Woods-South,"2","100",no,shelter,"City of Chicago, IL","0",,,,"216"
"253",Schiller Woods-West,"4","150",no,shelter,"City of Chicago, IL","1","170","130",portable,"218"
"254",Schiller Woods-East,"9","200",no,shelter,"City of Chicago, IL","0",,,,"221"
"255",Schiller Woods-East,"11","300",no,shelter,"City of Chicago, IL","0",,,,"221"
"256",Schiller Woods-East,"12","300",no,shelter,"City of Chicago, IL","1","212","181",portable,"221"
